Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date UTC /Day,Average Temperature(Celcius) /Day,Minimum Temperature(Celcius) /Day,Maximum Temperature(Celcius) /Day,Daily Precipitation(mm) /Day,Maximum Snowfall(mm) /Day,Wind Direction(Degrees) /Day,Wind Speed(km/h) /Day,Peak Wind Gust(km/h) /Day,Atmospheric Pressure(hPa) /Day,Sunshine Duration(m) /Day
UA,11/30/2021,2000,N4901U,ORD,20:51,20:44,111,109,-7,20:38,6,0,0,0,0,0,2021-11-30,5.3,1.1,11.7,0.0,0.0,308.0,11.9,,1015.8,
UA,11/30/2022,308,N438UA,EWR,23:16,22:57,77,66,-19,22:51,6,0,0,0,0,0,2022-11-30,8.2,2.2,15.6,12.4,0.0,288.0,19.8,,1013.4,
UA,11/30/2022,604,N877UA,DEN,14:57,15:09,194,177,12,15:04,5,0,0,0,0,0,2022-11-30,-9.6,-15.5,-1.6,0.0,30.0,287.0,6.5,,1021.9,
UA,11/30/2022,1998,N814UA,ORD,21:04,20:40,114,97,-24,20:36,4,0,0,0,0,0,2022-11-30,0.6,-6.6,1.7,0.0,0.0,264.0,28.4,,1016.9,
UA,12/1/2019,607,N815UA,ORD,15:03,19:59,108,0,0,19:53,6,0,0,0,0,0,2019-12-01,4.1,-0.5,5.0,2.8,0.0,290.0,16.2,,997.1,
UA,12/1/2019,1643,N825UA,ORD,20:55,21:23,115,145,28,20:45,38,0,0,28,0,0,2019-12-01,4.1,-0.5,5.0,2.8,0.0,290.0,16.2,,997.1,
UA,12/1/2019,2103,N840UA,ORD,3:09,3:01,114,91,-8,2:56,5,0,0,0,0,0,2019-12-01,4.1,-0.5,5.0,2.8,0.0,290.0,16.2,,997.1,
UA,12/1/2021,2000,N877UA,ORD,20:51,21:03,111,109,12,20:59,4,0,0,0,0,0,2021-12-01,5.2,1.1,9.4,0.0,0.0,196.0,14.0,,1012.3,
UA,12/1/2022,308,N435UA,EWR,23:16,23:33,77,58,17,23:27,6,0,0,0,0,17,2022-12-01,5.6,1.1,7.2,0.0,0.0,270.0,23.0,,1023.9,
UA,12/1/2022,604,N818UA,DEN,14:57,14:40,194,184,-17,14:35,5,0,0,0,0,0,2022-12-01,1.3,-8.2,17.8,0.0,30.0,199.0,23.0,,1007.0,
UA,12/1/2022,1998,N837UA,ORD,21:04,21:17,114,108,13,21:11,6,0,0,0,0,0,2022-12-01,-4.2,-7.7,2.2,0.0,0.0,207.0,16.6,,1028.6,
UA,12/2/2019,607,N806UA,ORD,14:58,15:03,108,120,5,14:51,12,0,0,0,0,0,2019-12-02,-0.2,-1.6,1.7,0.0,0.0,306.0,16.6,,1015.5,
