Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date UTC /Day,Average Temperature(Celcius) /Day,Minimum Temperature(Celcius) /Day,Maximum Temperature(Celcius) /Day,Daily Precipitation(mm) /Day,Maximum Snowfall(mm) /Day,Wind Direction(Degrees) /Day,Wind Speed(km/h) /Day,Peak Wind Gust(km/h) /Day,Atmospheric Pressure(hPa) /Day,Sunshine Duration(m) /Day
UA,1/1/2022,1282,N4901U,IAD,23:10,0:01,70,76,51,23:55,6,23,0,6,0,22,2022-01-01,14.4,13.3,16.7,16.5,0.0,165.0,7.6,,1006.7,
UA,1/1/2023,604,N814UA,DEN,14:58,14:52,193,177,-6,14:48,4,0,0,0,0,0,2023-01-01,-0.9,-4.9,1.1,1.3,100.0,111.0,10.4,,1010.5,
UA,1/1/2023,2488,N38458,EWR,23:14,23:15,75,62,1,23:10,5,0,0,0,0,0,2023-01-01,11.3,7.2,14.4,0.0,0.0,241.0,13.0,,1012.6,
UA,1/1/2023,2645,N23721,ORD,23:57,23:47,107,100,-10,23:41,6,0,0,0,0,0,2023-01-01,4.3,2.8,7.2,4.1,0.0,245.0,6.1,,1013.7,
UA,1/2/2022,1282,N4901U,IAD,23:10,23:27,70,64,17,23:19,8,17,0,0,0,0,2022-01-02,14.7,5.6,17.8,1.8,0.0,324.0,13.0,,1006.6,
UA,1/2/2023,604,N890UA,DEN,15:01,17:36,193,217,155,17:31,5,40,0,24,0,91,2023-01-02,-2.4,-4.3,-2.1,3.0,100.0,0.0,13.0,,1008.6,
UA,1/2/2023,1968,N23708,IAD,23:12,23:39,72,73,27,23:35,4,0,0,1,0,26,2023-01-02,9.4,2.8,17.8,0.0,0.0,181.0,6.1,,1019.4,
UA,1/2/2023,1998,N802UA,ORD,21:07,20:46,113,89,-21,20:43,3,0,0,0,0,0,2023-01-02,3.4,0.0,6.1,0.0,0.0,31.0,10.4,,1016.8,
UA,1/3/2022,1282,N893UA,IAD,23:10,23:31,70,68,21,23:25,6,21,0,0,0,0,2022-01-03,2.6,-4.9,5.6,18.5,30.0,347.0,18.4,,1019.7,
UA,1/3/2023,604,N813UA,DEN,14:58,14:52,193,181,-6,14:46,6,0,0,0,0,0,2023-01-03,-5.2,-8.8,-3.8,0.0,100.0,192.0,11.2,,1011.3,
UA,1/3/2023,1998,N854UA,ORD,21:07,21:04,113,111,-3,20:58,6,0,0,0,0,0,2023-01-03,4.8,3.9,8.9,28.4,0.0,28.0,12.2,,1003.9,
UA,1/4/2022,1282,N814UA,IAD,23:44,1:59,69,89,135,1:55,4,115,0,20,0,0,2022-01-04,-3.3,-8.2,0.0,0.0,80.0,195.0,9.0,,1029.1,
UA,1/4/2023,604,N407UA,DEN,14:59,14:47,193,187,-12,14:43,4,0,0,0,0,0,2023-01-04,-5.7,-11.6,-1.0,0.0,100.0,178.0,14.4,,1018.1,
UA,1/4/2023,1998,N893UA,ORD,21:17,21:31,113,110,14,21:26,5,0,0,0,0,0,2023-01-04,3.9,0.6,6.7,0.0,0.0,228.0,13.3,,1006.5,
UA,1/5/2020,2012,N825UA,ORD,21:47,21:55,107,94,8,21:50,5,0,0,0,0,0,2020-01-05,-0.7,-4.3,5.6,0.0,0.0,231.0,22.3,,1015.5,
UA,1/5/2022,1282,N827UA,IAD,23:44,23:30,69,61,-14,23:25,5,0,0,0,0,0,2022-01-05,-0.6,-3.8,2.8,0.0,50.0,187.0,12.6,,1013.8,
UA,1/5/2023,604,N821UA,DEN,14:59,14:59,193,193,0,14:54,5,0,0,0,0,0,2023-01-05,-6.9,-12.1,-1.0,0.0,100.0,236.0,9.7,,1020.9,
UA,1/5/2023,1998,N853UA,ORD,21:17,21:17,113,112,0,21:11,6,0,0,0,0,0,2023-01-05,0.6,0.0,1.1,0.5,0.0,234.0,13.7,,1011.7,
UA,1/6/2020,1643,N14735,ORD,21:19,21:01,109,93,-18,20:57,4,0,0,0,0,0,2020-01-06,1.0,-2.7,5.6,0.0,0.0,243.0,15.5,,1019.9,
UA,1/6/2022,1282,N485UA,IAD,23:44,23:45,69,66,1,23:38,7,0,0,0,0,0,2022-01-06,1.9,-2.7,5.0,0.0,30.0,24.0,8.6,,1012.5,
UA,1/6/2023,604,N855UA,DEN,14:59,14:51,193,191,-8,14:46,5,0,0,0,0,0,2023-01-06,-3.6,-8.8,3.3,0.0,100.0,244.0,10.8,,1017.8,
UA,1/6/2023,1998,N850UA,ORD,21:17,21:23,113,119,6,21:18,5,0,0,0,0,0,2023-01-06,-0.5,-3.8,1.1,0.0,0.0,259.0,11.2,,1021.0,
UA,1/7/2019,607,N810UA,ORD,20:49,20:18,109,86,-31,20:14,4,0,0,0,0,0,2019-01-07,6.4,4.4,11.7,11.2,0.0,189.0,25.2,,1007.0,
UA,1/7/2020,1643,N898UA,ORD,21:19,21:05,109,99,-14,20:59,6,0,0,0,0,0,2020-01-07,1.1,-2.1,4.4,0.0,0.0,252.0,17.3,,1016.0,
UA,1/7/2022,1282,N423UA,IAD,23:44,0:01,69,78,17,23:52,9,8,0,9,0,0,2022-01-07,-1.0,-5.5,1.7,6.6,130.0,313.0,24.5,,1018.7,
UA,1/7/2023,604,N847UA,DEN,14:59,14:53,193,193,-6,14:50,3,0,0,0,0,0,2023-01-07,-1.9,-7.1,3.3,0.0,100.0,164.0,16.6,,1025.1,
UA,1/7/2023,1998,N892UA,ORD,21:17,21:56,113,105,39,21:50,6,0,0,0,0,39,2023-01-07,-1.8,-2.7,0.0,0.0,0.0,352.0,9.4,,1028.5,
UA,1/8/2019,607,N4888U,ORD,20:49,21:31,109,101,42,21:27,4,42,0,0,0,0,2019-01-08,5.2,-4.3,7.2,0.0,0.0,263.0,23.4,,1010.2,
UA,1/8/2020,1643,N18223,ORD,21:19,21:02,109,98,-17,20:56,6,0,0,0,0,0,2020-01-08,-4.5,-9.9,-1.6,0.0,0.0,1.0,18.0,,1027.5,
UA,1/8/2022,1282,N893UA,IAD,23:44,23:38,69,63,-6,23:33,5,0,0,0,0,0,2022-01-08,-4.4,-9.9,0.6,0.0,80.0,266.0,9.0,,1035.1,
UA,1/8/2023,604,N813UA,DEN,15:02,15:17,193,199,15,15:11,6,9,0,6,0,0,2023-01-08,-1.3,-7.7,8.9,0.0,100.0,201.0,15.8,,1020.1,
UA,1/8/2023,1998,N414UA,ORD,21:17,21:05,113,105,-12,21:00,5,0,0,0,0,0,2023-01-08,-1.1,-3.2,0.6,0.0,0.0,319.0,7.9,,1024.3,
UA,1/9/2019,607,N816UA,ORD,20:49,20:38,109,106,-11,20:31,7,0,0,0,0,0,2019-01-09,-4.9,-9.3,-4.3,0.0,0.0,308.0,22.0,,1024.6,
UA,1/9/2020,1643,N13750,ORD,21:19,20:56,109,95,-23,20:52,4,0,0,0,0,0,2020-01-09,0.0,-4.9,10.0,0.5,0.0,171.0,25.9,,1017.6,
UA,1/9/2022,1282,N854UA,IAD,23:44,1:26,69,72,102,1:19,7,99,0,3,0,0,2022-01-09,0.6,-1.6,6.7,8.1,50.0,191.0,11.9,,1023.5,
UA,1/9/2023,604,N809UA,DEN,14:59,14:49,193,193,-10,14:45,4,0,0,0,0,0,2023-01-09,2.8,-5.5,6.7,0.0,80.0,214.0,14.8,,1014.8,
UA,1/9/2023,1998,N802UA,ORD,21:17,21:01,113,104,-16,20:57,4,0,0,0,0,0,2023-01-09,-0.6,-3.8,6.7,0.0,0.0,206.0,13.7,,1018.9,
UA,1/9/2023,2617,N895UA,EWR,23:12,0:04,74,71,52,23:59,5,52,0,0,0,0,2023-01-09,4.8,2.8,8.9,0.3,0.0,282.0,11.5,,1014.4,
UA,1/10/2019,607,N4888U,ORD,20:49,21:14,109,121,25,21:09,5,13,0,12,0,0,2019-01-10,-7.8,-9.9,-4.3,0.0,0.0,329.0,7.2,,1030.2,
UA,1/10/2020,1643,N17753,ORD,21:19,23:14,109,123,115,23:09,5,5,0,14,0,96,2020-01-10,7.9,2.2,10.0,21.3,0.0,43.0,18.4,,1016.7,
