Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
UA,4/10/2019,607,N21723,ORD,21:02,20:43,110,94,-19,20:39,4,0,0,0,0,0
UA,4/10/2020,1453,N13718,ORD,20:48,20:29,108,106,-19,20:25,4,0,0,0,0,0
UA,4/10/2022,1041,N826UA,DEN,15:11,14:58,202,188,-13,14:54,4,0,0,0,0,0
UA,4/10/2022,1185,N848UA,ORD,22:04,21:43,113,94,-21,21:39,4,0,0,0,0,0
UA,4/10/2022,2027,N823UA,IAD,23:37,23:40,70,77,3,23:33,7,0,0,0,0,0
UA,4/11/2019,607,N27733,ORD,21:02,21:00,110,92,-2,20:57,3,0,0,0,0,0
UA,4/11/2020,1453,N13718,ORD,20:48,20:49,108,109,1,20:44,5,0,0,0,0,0
UA,4/11/2022,1041,N409UA,DEN,15:06,14:35,198,178,-31,14:30,5,0,0,0,0,0
UA,4/11/2022,1185,N890UA,ORD,21:59,21:46,113,104,-13,21:41,5,0,0,0,0,0
UA,4/11/2022,2027,N827UA,IAD,23:37,23:31,70,67,-6,23:26,5,0,0,0,0,0
UA,4/12/2019,607,N16703,ORD,21:02,20:50,110,102,-12,20:46,4,0,0,0,0,0
UA,4/12/2020,1453,N13718,ORD,20:48,20:21,108,92,-27,20:18,3,0,0,0,0,0
UA,4/12/2022,1041,N497UA,DEN,15:06,15:00,198,186,-6,14:54,6,0,0,0,0,0
UA,4/12/2022,1185,N409UA,ORD,21:59,23:48,113,100,109,23:43,5,17,0,0,0,92
UA,4/12/2022,2027,N851UA,IAD,23:37,0:02,70,70,25,23:51,11,25,0,0,0,0
UA,4/13/2019,607,N443UA,ORD,21:02,20:56,110,105,-6,20:52,4,0,0,0,0,0
UA,4/13/2020,1453,N21723,ORD,20:48,20:36,108,100,-12,20:32,4,0,0,0,0,0
UA,4/13/2022,1041,N461UA,DEN,15:06,15:05,198,197,-1,14:59,6,0,0,0,0,0
UA,4/13/2022,1185,N897UA,ORD,21:59,0:40,113,103,161,0:36,4,24,0,0,0,137
UA,4/13/2022,2027,N896UA,IAD,23:37,23:45,70,61,8,23:40,5,0,0,0,0,0
UA,4/14/2019,607,,ORD,21:02,0:00,110,0,0,0:00,0,0,0,0,0,0
UA,4/14/2020,1453,N39728,ORD,20:48,20:25,108,91,-23,20:21,4,0,0,0,0,0
UA,4/14/2022,1041,N444UA,DEN,15:06,14:59,198,198,-7,14:44,15,0,0,0,0,0
UA,4/14/2022,1185,N847UA,ORD,21:59,21:55,113,102,-4,21:50,5,0,0,0,0,0
UA,4/14/2022,2027,N889UA,IAD,23:37,23:34,70,74,-3,23:28,6,0,0,0,0,0
UA,4/15/2019,607,N24736,ORD,21:02,21:12,110,102,10,21:06,6,0,0,0,0,0
UA,4/15/2020,1453,N17730,ORD,20:48,20:41,108,96,-7,20:38,3,0,0,0,0,0
UA,4/15/2022,1041,N425UA,DEN,15:06,15:01,198,188,-5,14:55,6,0,0,0,0,0
UA,4/15/2022,2027,N36469,IAD,23:37,23:40,70,70,3,23:34,6,0,0,0,0,0
UA,4/16/2019,607,N415UA,ORD,21:02,20:57,110,105,-5,20:52,5,0,0,0,0,0
UA,4/16/2020,1453,,ORD,20:48,0:00,108,0,0,0:00,0,0,0,0,0,0
UA,4/16/2022,1041,N850UA,DEN,15:11,15:09,202,186,-2,15:04,5,0,0,0,0,0
UA,4/16/2022,1185,N822UA,ORD,20:58,20:40,113,103,-18,20:36,4,0,0,0,0,0
UA,4/16/2022,2027,N808UA,IAD,23:37,23:34,70,67,-3,23:28,6,0,0,0,0,0
UA,4/17/2019,607,N23707,ORD,21:02,20:49,110,101,-13,20:45,4,0,0,0,0,0
