Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date UTC /Day,Average Temperature(Celcius) /Day,Minimum Temperature(Celcius) /Day,Maximum Temperature(Celcius) /Day,Daily Precipitation(mm) /Day,Maximum Snowfall(mm) /Day,Wind Direction(Degrees) /Day,Wind Speed(km/h) /Day,Peak Wind Gust(km/h) /Day,Atmospheric Pressure(hPa) /Day,Sunshine Duration(m) /Day
UA,4/10/2019,607,N21723,ORD,21:02,20:43,110,94,-19,20:39,4,0,0,0,0,0,2019-04-10,4.7,1.1,3.9,3.3,0.0,48.0,28.8,,1015.6,
UA,4/10/2020,1453,N13718,ORD,20:48,20:29,108,106,-19,20:25,4,0,0,0,0,0,2020-04-10,4.5,0.6,10.0,0.0,0.0,298.0,15.5,,1015.7,
UA,4/10/2022,1041,N826UA,DEN,15:11,14:58,202,188,-13,14:54,4,0,0,0,0,0,2022-04-10,9.1,1.1,13.9,0.3,0.0,7.0,23.0,,1002.0,
UA,4/10/2022,1185,N848UA,ORD,22:04,21:43,113,94,-21,21:39,4,0,0,0,0,0,2022-04-10,7.3,0.0,17.8,0.0,0.0,154.0,13.0,,1010.0,
UA,4/10/2022,2027,N823UA,IAD,23:37,23:40,70,77,3,23:33,7,0,0,0,0,0,2022-04-10,7.9,0.6,12.8,0.0,0.0,308.0,17.6,,1013.5,
UA,4/11/2019,607,N27733,ORD,21:02,21:00,110,92,-2,20:57,3,0,0,0,0,0,2019-04-11,5.7,2.8,13.3,7.1,0.0,64.0,25.9,,1006.3,
UA,4/11/2020,1453,N13718,ORD,20:48,20:49,108,109,1,20:44,5,0,0,0,0,0,2020-04-11,10.2,5.6,17.2,4.3,0.0,181.0,12.2,,1011.1,
UA,4/11/2022,1041,N409UA,DEN,15:06,14:35,198,178,-31,14:30,5,0,0,0,0,0,2022-04-11,7.1,-3.2,18.3,0.0,0.0,174.0,23.8,,999.6,
UA,4/11/2022,1185,N890UA,ORD,21:59,21:46,113,104,-13,21:41,5,0,0,0,0,0,2022-04-11,13.8,7.2,16.7,0.0,0.0,242.0,14.8,,1008.0,
UA,4/11/2022,2027,N827UA,IAD,23:37,23:31,70,67,-6,23:26,5,0,0,0,0,0,2022-04-11,8.2,-1.0,20.0,0.0,0.0,114.0,8.6,,1018.9,
UA,4/12/2019,607,N16703,ORD,21:02,20:50,110,102,-12,20:46,4,0,0,0,0,0,2019-04-12,8.8,3.3,10.6,1.8,0.0,235.0,26.6,,1006.3,
UA,4/12/2020,1453,N13718,ORD,20:48,20:21,108,92,-27,20:18,3,0,0,0,0,0,2020-04-12,13.1,9.4,18.9,3.3,0.0,168.0,15.5,,1002.4,
UA,4/12/2022,1041,N497UA,DEN,15:06,15:00,198,186,-6,14:54,6,0,0,0,0,0,2022-04-12,10.9,-3.2,15.6,0.0,0.0,314.0,25.2,,991.6,
UA,4/12/2022,1185,N409UA,ORD,21:59,23:48,113,100,109,23:43,5,17,0,0,0,92,2022-04-12,12.8,4.4,20.6,0.0,0.0,137.0,20.2,,1011.5,
UA,4/12/2022,2027,N851UA,IAD,23:37,0:02,70,70,25,23:51,11,25,0,0,0,0,2022-04-12,17.3,10.6,26.1,0.0,0.0,23.0,6.5,,1016.7,
UA,4/13/2019,607,N443UA,ORD,21:02,20:56,110,105,-6,20:52,4,0,0,0,0,0,2019-04-13,5.8,1.7,11.1,0.0,0.0,255.0,19.8,,1017.9,
UA,4/13/2020,1453,N21723,ORD,20:48,20:36,108,100,-12,20:32,4,0,0,0,0,0,2020-04-13,7.3,1.1,13.3,0.5,0.0,281.0,27.4,,1008.9,
UA,4/13/2022,1041,N461UA,DEN,15:06,15:05,198,197,-1,14:59,6,0,0,0,0,0,2022-04-13,-0.7,-12.1,6.7,0.0,0.0,298.0,22.3,,1011.1,
UA,4/13/2022,1185,N897UA,ORD,21:59,0:40,113,103,161,0:36,4,24,0,0,0,137,2022-04-13,19.1,3.9,22.2,6.6,0.0,212.0,22.7,,1000.3,
UA,4/13/2022,2027,N896UA,IAD,23:37,23:45,70,61,8,23:40,5,0,0,0,0,0,2022-04-13,20.1,10.6,30.0,0.0,0.0,227.0,13.0,,1013.7,
UA,4/14/2019,607,,ORD,21:02,0:00,110,0,0,0:00,0,0,0,0,0,0,2019-04-14,2.7,0.0,3.9,17.5,0.0,18.0,29.2,,1008.6,
UA,4/14/2020,1453,N39728,ORD,20:48,20:25,108,91,-23,20:21,4,0,0,0,0,0,2020-04-14,1.9,-1.0,5.0,0.0,0.0,261.0,19.8,,1021.1,
UA,4/14/2022,1041,N444UA,DEN,15:06,14:59,198,198,-7,14:44,15,0,0,0,0,0,2022-04-14,3.3,-7.7,15.0,0.0,0.0,248.0,20.5,,1011.2,
UA,4/14/2022,1185,N847UA,ORD,21:59,21:55,113,102,-4,21:50,5,0,0,0,0,0,2022-04-14,6.6,1.7,10.6,0.0,0.0,243.0,29.2,,1009.7,
UA,4/14/2022,2027,N889UA,IAD,23:37,23:34,70,74,-3,23:28,6,0,0,0,0,0,2022-04-14,23.2,10.6,27.2,0.0,0.0,240.0,22.7,,1010.1,
UA,4/15/2019,607,N24736,ORD,21:02,21:12,110,102,10,21:06,6,0,0,0,0,0,2019-04-15,3.2,-0.5,11.1,0.0,80.0,250.0,13.3,,1015.2,
UA,4/15/2020,1453,N17730,ORD,20:48,20:41,108,96,-7,20:38,3,0,0,0,0,0,2020-04-15,0.7,-2.7,4.4,2.5,30.0,298.0,13.3,,1018.7,
