Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
UA,7/16/2021,1240,N846UA,ORD,20:49,20:43,109,103,-6,20:40,3,0,0,0,0,0
UA,7/16/2022,535,N37422,ORD,0:15,0:13,114,115,-2,0:06,7,0,0,0,0,0
UA,7/16/2022,604,N834UA,DEN,15:04,15:04,199,199,0,14:59,5,0,0,0,0,0
UA,7/16/2022,2615,N845UA,IAD,23:35,23:26,73,74,-9,23:21,5,0,0,0,0,0
UA,7/17/2017,1500,N469UA,ORD,16:42,16:28,110,96,-14,16:24,4,0,0,0,0,0
UA,7/17/2019,607,N26232,ORD,20:58,20:35,118,97,-23,20:31,4,0,0,0,0,0
UA,7/17/2019,2341,N73445,ORD,14:48,15:03,108,105,15,14:59,4,0,0,0,0,15
UA,7/17/2021,380,N15712,IAD,23:40,23:42,70,70,2,23:37,5,0,0,0,0,0
UA,7/17/2022,288,N34460,ORD,16:48,16:37,113,107,-11,16:33,4,0,0,0,0,0
UA,7/17/2022,604,N837UA,DEN,15:04,14:45,199,189,-19,14:34,11,0,0,0,0,0
UA,7/17/2022,1503,N63890,ORD,23:59,23:38,114,100,-21,23:33,5,0,0,0,0,0
UA,7/17/2022,2615,N846UA,IAD,23:35,1:30,73,73,115,1:24,6,0,115,0,0,0
UA,7/18/2017,1500,N405UA,ORD,16:42,16:33,110,108,-9,16:28,5,0,0,0,0,0
UA,7/18/2019,607,N18220,ORD,20:58,22:09,118,92,71,22:04,5,71,0,0,0,0
UA,7/18/2019,2341,,ORD,14:48,0:00,108,0,0,0:00,0,0,0,0,0,0
UA,7/18/2021,1240,N446UA,ORD,20:49,21:27,109,104,38,21:24,3,38,0,0,0,0
UA,7/18/2022,288,N825UA,ORD,16:53,16:37,115,103,-16,16:32,5,0,0,0,0,0
UA,7/18/2022,604,N815UA,DEN,15:04,15:12,199,209,8,15:04,8,0,0,0,0,0
UA,7/18/2022,1503,N63899,ORD,23:59,0:06,114,108,7,0:01,5,0,0,0,0,0
UA,7/18/2022,2615,N829UA,IAD,23:35,0:33,73,118,58,0:13,20,3,0,45,0,10
UA,7/19/2017,1500,N835UA,ORD,16:42,16:19,110,90,-23,16:15,4,0,0,0,0,0
