Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
UA,11/30/2021,2000,N4901U,ORD,20:51,20:44,111,109,-7,20:38,6,0,0,0,0,0
UA,11/30/2022,308,N438UA,EWR,23:16,22:57,77,66,-19,22:51,6,0,0,0,0,0
UA,11/30/2022,604,N877UA,DEN,14:57,15:09,194,177,12,15:04,5,0,0,0,0,0
UA,11/30/2022,1998,N814UA,ORD,21:04,20:40,114,97,-24,20:36,4,0,0,0,0,0
UA,12/1/2019,607,N815UA,ORD,15:03,19:59,108,0,0,19:53,6,0,0,0,0,0
UA,12/1/2019,1643,N825UA,ORD,20:55,21:23,115,145,28,20:45,38,0,0,28,0,0
UA,12/1/2019,2103,N840UA,ORD,3:09,3:01,114,91,-8,2:56,5,0,0,0,0,0
UA,12/1/2021,2000,N877UA,ORD,20:51,21:03,111,109,12,20:59,4,0,0,0,0,0
UA,12/1/2022,308,N435UA,EWR,23:16,23:33,77,58,17,23:27,6,0,0,0,0,17
UA,12/1/2022,604,N818UA,DEN,14:57,14:40,194,184,-17,14:35,5,0,0,0,0,0
UA,12/1/2022,1998,N837UA,ORD,21:04,21:17,114,108,13,21:11,6,0,0,0,0,0
UA,12/2/2019,607,N806UA,ORD,14:58,15:03,108,120,5,14:51,12,0,0,0,0,0
UA,12/2/2019,1643,N806UA,ORD,20:55,20:57,115,125,2,20:49,8,0,0,0,0,0
UA,12/2/2019,2103,N815UA,ORD,3:09,3:21,114,110,12,3:14,7,0,0,0,0,0
UA,12/2/2021,2000,N873UA,ORD,20:51,20:46,111,108,-5,20:41,5,0,0,0,0,0
UA,12/2/2022,604,N818UA,DEN,14:57,14:37,194,176,-20,14:32,5,0,0,0,0,0
UA,12/2/2022,1998,N850UA,ORD,21:04,20:46,114,103,-18,20:41,5,0,0,0,0,0
UA,12/3/2019,1643,N889UA,ORD,20:55,21:01,115,123,6,20:56,5,0,0,0,0,0
UA,12/3/2019,2103,N815UA,ORD,14:58,14:44,108,101,-14,14:38,6,0,0,0,0,0
UA,12/3/2021,2000,N821UA,ORD,20:51,21:55,111,107,64,21:50,5,0,0,64,0,0
UA,12/3/2022,358,N838UA,EWR,23:17,22:55,78,64,-22,22:50,5,0,0,0,0,0
UA,12/3/2022,604,N840UA,DEN,14:57,14:38,194,180,-19,14:32,6,0,0,0,0,0
UA,12/3/2022,1998,N851UA,ORD,22:39,22:34,112,111,-5,22:29,5,0,0,0,0,0
UA,12/4/2019,1643,N840UA,ORD,21:05,20:54,115,106,-11,20:48,6,0,0,0,0,0
UA,12/4/2021,2000,N852UA,ORD,20:51,20:56,111,99,5,20:51,5,0,0,0,0,0
UA,12/4/2022,308,N896UA,EWR,23:16,22:59,77,62,-17,22:53,6,0,0,0,0,0
UA,12/4/2022,604,N840UA,DEN,14:57,14:37,194,181,-20,14:32,5,0,0,0,0,0
UA,12/4/2022,1998,N807UA,ORD,21:04,20:58,114,110,-6,20:54,4,0,0,0,0,0
UA,12/5/2019,1643,N842UA,ORD,21:05,20:56,115,106,-9,20:52,4,0,0,0,0,0
UA,12/5/2021,2000,N893UA,ORD,20:51,21:10,111,125,19,21:05,5,0,0,19,0,0
UA,12/5/2022,308,N894UA,EWR,23:16,22:47,77,55,-29,22:44,3,0,0,0,0,0
UA,12/5/2022,604,N840UA,DEN,14:57,14:24,194,167,-33,14:20,4,0,0,0,0,0
UA,12/5/2022,1998,N452UA,ORD,21:04,20:36,114,95,-28,20:32,4,0,0,0,0,0
UA,12/6/2019,1643,N69816,ORD,21:15,21:00,115,101,-15,20:54,6,0,0,0,0,0
UA,12/6/2021,2000,N845UA,ORD,20:51,20:46,111,105,-5,20:40,6,0,0,0,0,0
UA,12/6/2022,604,N875UA,DEN,14:57,14:42,194,174,-15,14:38,4,0,0,0,0,0
UA,12/6/2022,1998,N463UA,ORD,21:04,20:36,114,94,-28,20:33,3,0,0,0,0,0
UA,12/7/2019,524,N45440,ORD,21:17,21:23,115,115,6,21:17,6,0,0,0,0,0
UA,12/7/2021,2000,N847UA,ORD,20:51,20:45,111,105,-6,20:41,4,0,0,0,0,0
UA,12/7/2022,308,N802UA,EWR,23:16,23:41,77,52,25,23:37,4,0,0,0,0,25
UA,12/7/2022,604,N820UA,DEN,14:57,14:29,194,169,-28,14:24,5,0,0,0,0,0
UA,12/7/2022,1998,N840UA,ORD,21:04,20:59,114,108,-5,20:54,5,0,0,0,0,0
UA,12/8/2018,1196,N468UA,ORD,20:56,20:47,116,102,-9,20:42,5,0,0,0,0,0
UA,12/8/2019,1643,N853UA,ORD,21:05,21:10,115,122,5,21:05,5,0,0,0,0,0
UA,12/8/2021,2000,N811UA,ORD,20:51,21:00,111,108,9,20:54,6,0,0,0,0,0
UA,12/8/2022,308,N839UA,EWR,23:16,23:04,77,71,-12,23:00,4,0,0,0,0,0
UA,12/8/2022,604,N823UA,DEN,14:57,15:45,194,174,48,15:40,5,48,0,0,0,0
UA,12/8/2022,1998,N822UA,ORD,21:04,20:54,114,106,-10,20:51,3,0,0,0,0,0
UA,12/9/2019,1643,N831UA,ORD,21:05,20:49,115,116,-16,20:41,8,0,0,0,0,0
