Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
UA,9/17/2017,1260,N821UA,ORD,16:33,16:35,107,103,2,16:30,5,0,0,0,0,0
UA,9/17/2017,1664,N838UA,ORD,20:45,20:44,115,122,-1,20:39,5,0,0,0,0,0
UA,9/17/2019,607,N69816,ORD,20:52,20:30,112,97,-22,20:27,3,0,0,0,0,0
UA,9/17/2019,2341,N14735,ORD,14:48,14:40,108,106,-8,14:34,6,0,0,0,0,0
UA,9/17/2021,794,N14731,IAD,23:44,23:24,84,73,-20,23:20,4,0,0,0,0,0
UA,9/17/2021,1815,N831UA,ORD,21:02,21:05,117,120,3,21:01,4,0,0,0,0,0
UA,9/17/2022,599,N78509,ORD,23:59,23:37,110,95,-22,23:33,4,0,0,0,0,0
UA,9/17/2022,604,N896UA,DEN,15:10,14:58,200,192,-12,14:54,4,0,0,0,0,0
UA,9/18/2017,1260,N830UA,ORD,16:37,16:58,107,104,21,16:55,3,21,0,0,0,0
UA,9/18/2017,1664,N838UA,ORD,20:45,20:22,115,97,-23,20:17,5,0,0,0,0,0
UA,9/18/2019,607,N66897,ORD,20:52,20:34,112,99,-18,20:29,5,0,0,0,0,0
UA,9/18/2019,2341,N14731,ORD,14:48,15:07,108,94,19,15:02,5,19,0,0,0,0
UA,9/18/2021,794,N15710,IAD,23:44,23:13,84,61,-31,23:09,4,0,0,0,0,0
UA,9/18/2021,1815,N820UA,ORD,21:02,21:10,117,101,8,21:07,3,0,0,0,0,0
UA,9/18/2022,599,N813UA,ORD,23:59,23:43,110,103,-16,23:37,6,0,0,0,0,0
UA,9/18/2022,604,N897UA,DEN,15:10,14:58,200,196,-12,14:44,14,0,0,0,0,0
UA,9/18/2022,2360,N464UA,IAD,18:35,18:49,77,91,14,18:42,7,0,0,0,0,0
UA,9/19/2017,1260,N854UA,ORD,16:37,16:30,107,100,-7,16:26,4,0,0,0,0,0
UA,9/19/2017,1664,N891UA,ORD,20:45,20:28,115,98,-17,20:24,4,0,0,0,0,0
