Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
UA,1/10/2022,1282.0,N810UA,IAD,23:44,0:14,69.0,77.0,30.0,0:08,6.0,0.0,22.0,8.0,0.0,0.0
UA,1/11/2020,2027.0,N24715,ORD,21:19,22:00,109.0,94.0,41.0,21:56,4.0,0.0,41.0,0.0,0.0,0.0
UA,1/12/2020,1643.0,N16703,ORD,21:19,23:56,109.0,106.0,157.0,23:50,6.0,0.0,66.0,0.0,0.0,91.0
UA,1/22/2019,607.0,N816UA,ORD,20:49,2:59,109.0,83.0,370.0,2:55,4.0,0.0,21.0,0.0,0.0,349.0
UA,1/25/2019,607.0,N825UA,ORD,20:49,21:48,109.0,102.0,59.0,21:44,4.0,0.0,59.0,0.0,0.0,0.0
UA,1/26/2019,607.0,N834UA,ORD,20:49,21:40,109.0,117.0,51.0,21:35,5.0,0.0,43.0,8.0,0.0,0.0
UA,1/28/2019,607.0,N497UA,ORD,20:49,2:42,109.0,111.0,353.0,2:37,5.0,0.0,19.0,2.0,0.0,332.0
UA,2/9/2020,1643.0,N25705,ORD,21:19,21:36,109.0,101.0,17.0,21:33,3.0,0.0,1.0,0.0,0.0,16.0
UA,2/12/2020,1643.0,N54711,ORD,21:19,21:39,109.0,103.0,20.0,21:34,5.0,0.0,20.0,0.0,0.0,0.0
UA,2/13/2020,1643.0,N77518,ORD,21:19,0:17,109.0,112.0,178.0,0:12,5.0,0.0,15.0,3.0,0.0,160.0
UA,3/6/2022,1200.0,N404UA,DEN,15:05,17:04,200.0,227.0,119.0,16:59,5.0,0.0,92.0,27.0,0.0,0.0
UA,4/7/2019,607.0,N17719,ORD,21:02,22:27,110.0,176.0,85.0,22:22,5.0,0.0,19.0,66.0,0.0,0.0
UA,5/28/2019,607.0,N490UA,ORD,21:11,0:01,111.0,111.0,170.0,23:54,7.0,0.0,1.0,0.0,0.0,169.0
UA,6/13/2022,1503.0,N24702,ORD,23:59,0:26,114.0,109.0,27.0,0:19,7.0,0.0,24.0,0.0,0.0,3.0
UA,6/15/2019,607.0,N78285,ORD,21:18,22:02,118.0,104.0,44.0,21:57,5.0,0.0,11.0,0.0,0.0,33.0
UA,6/17/2017,849.0,N814UA,ORD,20:41,21:36,111.0,146.0,55.0,21:32,4.0,0.0,20.0,35.0,0.0,0.0
UA,6/30/2021,1452.0,N463UA,ORD,21:34,21:52,114.0,98.0,18.0,21:48,4.0,0.0,18.0,0.0,0.0,0.0
UA,7/2/2022,2615.0,N801UA,IAD,23:35,1:04,73.0,70.0,89.0,1:00,4.0,0.0,42.0,0.0,0.0,47.0
UA,7/5/2022,1503.0,N66828,ORD,23:59,0:38,114.0,119.0,39.0,0:33,5.0,0.0,34.0,5.0,0.0,0.0
UA,7/13/2022,2615.0,N832UA,IAD,23:35,0:13,73.0,67.0,38.0,0:07,6.0,0.0,38.0,0.0,0.0,0.0
UA,7/17/2022,2615.0,N846UA,IAD,23:35,1:30,73.0,73.0,115.0,1:24,6.0,0.0,115.0,0.0,0.0,0.0
