iter	Passed	Remaining
0	141	70730
1	145	36158
2	148	24617
3	151	18817
4	155	15358
5	158	13047
6	162	11412
7	165	10169
8	169	9242
9	174	8527
10	178	7949
11	183	7481
12	188	7051
13	191	6660
14	195	6328
15	198	6018
16	202	5745
17	205	5504
18	209	5293
19	212	5106
20	215	4925
21	219	4761
22	222	4615
23	225	4476
24	229	4351
25	232	4233
26	235	4125
27	238	4022
28	241	3926
29	244	3838
30	248	3755
31	251	3679
32	254	3606
33	258	3536
34	261	3472
35	264	3410
36	267	3352
37	271	3296
38	274	3243
39	277	3192
40	280	3145
41	284	3100
42	287	3056
43	290	3013
44	294	2973
45	298	2942
46	302	2912
47	305	2879
48	309	2852
49	313	2825
50	317	2798
51	321	2771
52	325	2746
53	329	2723
54	333	2699
55	337	2677
56	341	2655
57	345	2634
58	350	2620
59	354	2599
60	359	2583
61	363	2569
62	367	2552
63	372	2538
64	376	2519
65	379	2497
66	384	2485
67	388	2470
68	392	2449
69	395	2428
70	399	2413
71	403	2400
72	407	2382
73	410	2363
74	413	2345
75	418	2334
76	422	2320
77	425	2303
78	429	2287
79	434	2279
80	438	2265
81	441	2249
82	444	2233
83	449	2227
84	453	2214
85	456	2199
86	460	2184
87	465	2178
88	468	2163
89	471	2149
90	475	2135
91	479	2125
92	483	2117
93	487	2105
94	490	2091
95	494	2079
96	498	2070
97	502	2059
98	505	2047
99	508	2034
100	512	2023
101	515	2011
102	518	1999
103	521	1987
104	526	1979
105	530	1970
106	534	1962
107	539	1956
108	543	1949
109	547	1941
110	551	1932
111	554	1921
112	558	1913
113	562	1905
114	566	1895
115	569	1885
116	572	1875
117	577	1870
118	581	1862
119	585	1852
120	588	1842
121	593	1837
122	597	1831
123	600	1821
124	604	1812
125	608	1807
126	612	1800
127	616	1790
128	619	1781
129	624	1776
130	628	1770
131	632	1762
132	635	1753
133	640	1749
134	644	1742
135	647	1733
136	651	1725
137	655	1720
138	660	1714
139	663	1706
140	666	1697
141	671	1692
142	675	1687
143	679	1679
144	682	1671
145	687	1666
146	691	1661
147	694	1652
148	698	1644
149	702	1638
150	707	1635
151	711	1627
152	714	1620
153	718	1613
154	722	1607
155	725	1600
156	730	1596
157	736	1593
158	740	1589
159	744	1582
160	748	1575
161	751	1568
162	754	1560
163	759	1555
164	762	1548
165	766	1542
166	770	1535
167	773	1528
168	776	1520
169	779	1513
170	783	1506
171	786	1499
172	789	1492
173	792	1485
174	796	1478
175	799	1471
176	802	1465
177	806	1458
178	809	1452
179	812	1445
180	816	1438
181	819	1431
182	822	1424
183	825	1418
184	828	1411
185	832	1404
186	835	1398
187	838	1391
188	841	1384
189	844	1378
190	848	1372
191	851	1365
192	854	1359
193	857	1352
194	861	1346
195	864	1340
196	868	1335
197	871	1329
198	874	1323
199	877	1316
200	881	1310
201	885	1306
202	889	1300
203	892	1295
204	903	1300
205	908	1296
206	912	1291
207	915	1285
208	918	1279
209	922	1273
210	925	1267
211	928	1261
212	931	1255
213	935	1250
214	939	1244
215	942	1239
216	945	1233
217	949	1228
218	954	1224
219	959	1220
220	962	1215
221	965	1209
222	969	1204
223	974	1200
224	978	1196
225	982	1190
226	985	1185
227	991	1182
228	995	1177
