Average Temperature(Celcius) /Day,Minimum Temperature(Celcius) /Day,Maximum Temperature(Celcius) /Day,Daily Precipitation(mm) /Day,Maximum Snowfall(mm) /Day,Wind Direction(Degrees) /Day,Wind Speed(km/h) /Day,Atmospheric Pressure(hPa) /Day,Flight Number_212,Flight Number_279,Flight Number_288,Flight Number_308,Flight Number_316,Flight Number_333,Flight Number_358,Flight Number_360,Flight Number_376,Flight Number_379,Flight Number_380,Flight Number_411,Flight Number_437,Flight Number_441,Flight Number_451,Flight Number_467,Flight Number_479,Flight Number_524,Flight Number_535,Flight Number_547,Flight Number_561,Flight Number_568,Flight Number_582,Flight Number_599,Flight Number_604,Flight Number_607,Flight Number_617,Flight Number_652,Flight Number_702,Flight Number_760,Flight Number_776,Flight Number_790,Flight Number_794,Flight Number_849,Flight Number_964,Flight Number_1036,Flight Number_1041,Flight Number_1046,Flight Number_1094,Flight Number_1185,Flight Number_1196,Flight Number_1200,Flight Number_1224,Flight Number_1240,Flight Number_1260,Flight Number_1282,Flight Number_1284,Flight Number_1409,Flight Number_1419,Flight Number_1422,Flight Number_1452,Flight Number_1453,Flight Number_1460,Flight Number_1500,Flight Number_1503,Flight Number_1532,Flight Number_1559,Flight Number_1622,Flight Number_1643,Flight Number_1664,Flight Number_1795,Flight Number_1815,Flight Number_1864,Flight Number_1874,Flight Number_1917,Flight Number_1952,Flight Number_1968,Flight Number_1995,Flight Number_1998,Flight Number_2000,Flight Number_2012,Flight Number_2027,Flight Number_2038,Flight Number_2039,Flight Number_2044,Flight Number_2051,Flight Number_2103,Flight Number_2113,Flight Number_2131,Flight Number_2198,Flight Number_2238,Flight Number_2267,Flight Number_2341,Flight Number_2360,Flight Number_2375,Flight Number_2416,Flight Number_2419,Flight Number_2488,Flight Number_2615,Flight Number_2617,Flight Number_2634,Flight Number_2645,Origin Airport_DEN,Origin Airport_EWR,Origin Airport_IAD,Origin Airport_ORD,Arrival Time,Hour,Minute,year,month,day,Day_Friday,Day_Monday,Day_Saturday,Day_Sunday,Day_Thursday,Day_Tuesday,Day_Wednesday,Status_Early,Status_Late,Status_On-Time,Status_Severely Late
14.4,13.3,16.7,16.5,0.0,165.0,7.6,1006.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2023-04-20 23:10:00,23,10,2022,1,1,0,0,1,0,0,0,0,0,0,0,1
-0.9,-4.9,1.1,1.3,100.0,111.0,10.4,1010.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023-04-20 14:58:00,14,58,2023,1,1,0,0,0,1,0,0,0,0,0,1,0
11.3,7.2,14.4,0.0,0.0,241.0,13.0,1012.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2023-04-20 23:14:00,23,14,2023,1,1,0,0,0,1,0,0,0,0,0,1,0
4.3,2.8,7.2,4.1,0.0,245.0,6.1,1013.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2023-04-20 23:57:00,23,57,2023,1,1,0,0,0,1,0,0,0,0,0,1,0
14.7,5.6,17.8,1.8,0.0,324.0,13.0,1006.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2023-04-20 23:10:00,23,10,2022,1,2,0,0,0,1,0,0,0,0,1,0,0
-2.4,-4.3,-2.1,3.0,100.0,0.0,13.0,1008.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023-04-20 15:01:00,15,1,2023,1,2,0,1,0,0,0,0,0,0,0,0,1
9.4,2.8,17.8,0.0,0.0,181.0,6.1,1019.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2023-04-20 23:12:00,23,12,2023,1,2,0,1,0,0,0,0,0,0,1,0,0
3.4,0.0,6.1,0.0,0.0,31.0,10.4,1016.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-04-20 21:07:00,21,7,2023,1,2,0,1,0,0,0,0,0,1,0,0,0
2.6,-4.9,5.6,18.5,30.0,347.0,18.4,1019.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2023-04-20 23:10:00,23,10,2022,1,3,0,1,0,0,0,0,0,0,1,0,0
-5.2,-8.8,-3.8,0.0,100.0,192.0,11.2,1011.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023-04-20 14:58:00,14,58,2023,1,3,0,0,0,0,0,1,0,0,0,1,0
