Arrival Delay (Minutes),Average Temperature(Celcius) /Day,Minimum Temperature(Celcius) /Day,Maximum Temperature(Celcius) /Day,Daily Precipitation(mm) /Day,Maximum Snowfall(mm) /Day,Wind Direction(Degrees) /Day,Wind Speed(km/h) /Day,Atmospheric Pressure(hPa) /Day,Day,Month,Year,Scheduled Arrival Hour,Scheduled Arrival Minute,Status,Origin Airport_EWR,Origin Airport_IAD,Origin Airport_ORD
51,14.4,13.3,16.7,16.5,0.0,165.0,7.6,1006.7,1,1,2022,23,10,Severely Late,0,1,0
-6,-0.9,-4.9,1.1,1.3,100.0,111.0,10.4,1010.5,1,1,2023,14,58,On-Time,0,0,0
1,11.3,7.2,14.4,0.0,0.0,241.0,13.0,1012.6,1,1,2023,23,14,On-Time,1,0,0
-10,4.3,2.8,7.2,4.1,0.0,245.0,6.1,1013.7,1,1,2023,23,57,On-Time,0,0,1
17,14.7,5.6,17.8,1.8,0.0,324.0,13.0,1006.6,2,1,2022,23,10,Late,0,1,0
155,-2.4,-4.3,-2.1,3.0,100.0,0.0,13.0,1008.6,2,1,2023,15,1,Severely Late,0,0,0
27,9.4,2.8,17.8,0.0,0.0,181.0,6.1,1019.4,2,1,2023,23,12,Late,0,1,0
-21,3.4,0.0,6.1,0.0,0.0,31.0,10.4,1016.8,2,1,2023,21,7,Early,0,0,1
21,2.6,-4.9,5.6,18.5,30.0,347.0,18.4,1019.7,3,1,2022,23,10,Late,0,1,0
-6,-5.2,-8.8,-3.8,0.0,100.0,192.0,11.2,1011.3,3,1,2023,14,58,On-Time,0,0,0
-3,4.8,3.9,8.9,28.4,0.0,28.0,12.2,1003.9,3,1,2023,21,7,On-Time,0,0,1
135,-3.3,-8.2,0.0,0.0,80.0,195.0,9.0,1029.1,4,1,2022,23,44,Severely Late,0,1,0
-12,-5.7,-11.6,-1.0,0.0,100.0,178.0,14.4,1018.1,4,1,2023,14,59,Early,0,0,0
14,3.9,0.6,6.7,0.0,0.0,228.0,13.3,1006.5,4,1,2023,21,17,Late,0,0,1
8,-0.7,-4.3,5.6,0.0,0.0,231.0,22.3,1015.5,5,1,2020,21,47,On-Time,0,0,1
-14,-0.6,-3.8,2.8,0.0,50.0,187.0,12.6,1013.8,5,1,2022,23,44,Early,0,1,0
0,-6.9,-12.1,-1.0,0.0,100.0,236.0,9.7,1020.9,5,1,2023,14,59,On-Time,0,0,0
0,0.6,0.0,1.1,0.5,0.0,234.0,13.7,1011.7,5,1,2023,21,17,On-Time,0,0,1
-18,1.0,-2.7,5.6,0.0,0.0,243.0,15.5,1019.9,6,1,2020,21,19,Early,0,0,1
1,1.9,-2.7,5.0,0.0,30.0,24.0,8.6,1012.5,6,1,2022,23,44,On-Time,0,1,0
-8,-3.6,-8.8,3.3,0.0,100.0,244.0,10.8,1017.8,6,1,2023,14,59,On-Time,0,0,0
6,-0.5,-3.8,1.1,0.0,0.0,259.0,11.2,1021.0,6,1,2023,21,17,On-Time,0,0,1
-31,6.4,4.4,11.7,11.2,0.0,189.0,25.2,1007.0,7,1,2019,20,49,Early,0,0,1
-14,1.1,-2.1,4.4,0.0,0.0,252.0,17.3,1016.0,7,1,2020,21,19,Early,0,0,1
17,-1.0,-5.5,1.7,6.6,130.0,313.0,24.5,1018.7,7,1,2022,23,44,Late,0,1,0
-6,-1.9,-7.1,3.3,0.0,100.0,164.0,16.6,1025.1,7,1,2023,14,59,On-Time,0,0,0
39,-1.8,-2.7,0.0,0.0,0.0,352.0,9.4,1028.5,7,1,2023,21,17,Severely Late,0,0,1
42,5.2,-4.3,7.2,0.0,0.0,263.0,23.4,1010.2,8,1,2019,20,49,Severely Late,0,0,1
